year,state,working_age_population,population,working_age_population_ratio,area,pop_per_area,latitude,longitude,latitude2,longitude2,p_rate,u_rate,lf,lf_employed,lf_unemployed,lf_outside,
2021,Pahang,1079.1,1601.5,67.38058071,36137,0.11945928,3.6168822,102.5994547,3.2168822,104.0994547,64.1,3.3,735.8,711.6,24.2,412.1,
2021,Perak,1707.6,2515.8,67.87502981,21035,0.324720704,4.812181,100.9797908,4.512181,100.0797908,64.5,4.3,1110.7,1062.8,47.9,611.3,
2021,Perlis,207.3,287.6,72.07927677,821,1.009866017,6.486839199,100.2577623,6.36839199,99.8577623,64.5,4.2,116.1,111.2,4.9,63.9,
2021,Pulau Pinang,1274.4,1740,73.24137931,1048,4.863931298,5.406501299,100.2559077,5.206501299,99.5559077,72.1,3.2,937.9,908.1,29.9,363,
2021,Putrajaya,70.3,115.2,61.02430556,49,5.72244898,2.9384381,101.69223,2.6384381,100.69223,70.9,1.6,36.2,35.6,0.6,14.9,
2021,Sabah,2334,3412.6,68.39360019,73631,0.126803928,5.425735899,114.5326392,4.125735899,115.726392,67.5,9,2045.9,1861.7,184.2,985.1,
2021,Sarawak,1739.7,2465.6,70.55889033,124450,0.055925271,2.5023855,110.9547283,2.2023855,112.9547283,70.5,4,1441.7,1384.1,57.6,603.3,
2021,Selangor,4978.8,7014.7,70.97666329,8104,2.457465449,3.5083304,101.304146,3.5083304,100.304146,74.1,2.9,3658.6,3553.3,105.3,1279.7,
2021,Terengganu,770.1,1170.7,65.78115657,13035,0.236355965,4.8630743,102.9949297,4.5630743,104.2349297,57.5,4.1,484.6,464.7,19.9,358.2,
2022,Johor,2827.3,4028.3,70.18593451,19210,0.588729828,2.0229012,103.3147721,1.0229012,104.3147721,69.3,2.4,1856,1812.2,43.7,823.7,
2022,Kedah,1444.8,2163.1,66.79302852,9500,0.608326316,6.209826499,100.3715035,6.209826499,101.615035,66.2,3.3,1057.3,1022.5,34.8,539.7,
2022,Kelantan,1168.9,1830.6,63.85338141,15099,0.309702629,5.402130199,102.0635972,5.202130199,104.0635972,61.3,4.1,800.7,768,32.8,505.5,
2022,Kuala Lumpur,1457,1961.2,74.29125025,243,23.98518519,3.1526589,101.7022205,3.0526589,100.5022205,71.8,3.2,859,831.6,27.4,337.2,
2022,Labuan,65.9,96.9,68.00825593,91,2.894505495,5.316833599,112.448438,5.216833599,111.948438,66.4,4.5,49.3,47,2.2,24.9,
2022,Melaka,706.7,1008.6,70.06742019,1664,1.698497596,2.3293744,102.2880962,1.4293744,101.7880962,67.1,2.7,454.2,441.9,12.3,222.7,
2022,Negeri Sembilan,820.3,1207.9,67.91125093,6686,0.490682022,2.731895,102.1925319,2.181895,101.0025319,67.2,2.6,532,518,14,259.9,
2022,Pahang,1095.9,1614.3,67.88700985,36137,0.121313335,3.6168822,102.5994547,3.2168822,104.0994547,65.6,2.7,757.2,736.5,20.7,397.7,
2022,Perak,1710,2514.4,68.00827235,21035,0.325177086,4.812181,100.9797908,4.512181,100.0797908,65.2,2.8,1122.7,1090.8,31.9,599.1,
2022,Perlis,208.9,289.8,72.084196,821,1.018514007,6.486839199,100.2577623,6.36839199,99.8577623,65.4,2.2,118.2,115.6,2.6,62.6,
2022,Pulau Pinang,1275.8,1740.9,73.2839336,1048,4.869370229,5.406501299,100.2559077,5.206501299,99.5559077,71.8,2.3,946.1,924.4,21.7,371.2,
2022,Putrajaya,71.9,117,61.45299145,49,5.848979592,2.9384381,101.69223,2.6384381,100.69223,77.6,1.6,39.2,38.6,0.6,11.3,
2022,Sabah,2357.6,3414.9,69.03862485,73631,0.128075131,5.425735899,114.5326392,4.125735899,115.726392,70.6,8.1,2176.5,1999.8,176.7,907.6,
2022,Sarawak,1753.7,2473.5,70.89953507,124450,0.056364805,2.5023855,110.9547283,2.2023855,112.9547283,69.8,3.1,1449.8,1405.3,44.5,627.8,
2022,Selangor,5008.9,7050.3,71.04520375,8104,2.472198914,3.5083304,101.304146,3.5083304,100.304146,75.9,2.9,3809.6,3697.4,112.2,1209.9,
2022,Terengganu,781.2,1186.6,65.83515928,13035,0.239746835,4.8630743,102.9949297,4.5630743,104.2349297,59.8,4.3,514.4,492,22.4,345.3,
2023,Johor,2904.3,4107.2,70.71240748,19210,0.604789172,2.0229012,103.3147721,1.0229012,104.3147721,71.1,2.3,1936.4,1891.8,44.6,788.5,
2023,Kedah,1461.4,2189.3,66.75192984,9500,0.615263158,6.209826499,100.3715035,6.209826499,101.615035,67,2.1,1082.7,1060.2,22.5,533.6,
2023,Kelantan,1195.5,1859.8,64.2811055,15099,0.316689847,5.402130199,102.0635972,5.202130199,104.0635972,62.1,4,829.7,796.6,33.1,507.3,
2023,Kuala Lumpur,1504.4,2005.7,75.00623224,243,24.7654321,3.1526589,101.7022205,3.0526589,100.5022205,73.7,3.3,874.6,845.8,28.8,312.1,
2023,Labuan,68,99,68.68686869,91,2.982417582,5.316833599,112.448438,5.216833599,111.948438,66.9,7,49.4,45.9,3.5,24.5,
2023,Melaka,724.3,1028.3,70.436643,1664,1.740985577,2.3293744,102.2880962,1.4293744,101.7880962,67.5,2.6,461.9,450.1,11.8,222.8,
2023,Negeri Sembilan,836.6,1224.9,68.29945302,6686,0.500702961,2.731895,102.1925319,2.181895,101.0025319,66.9,2.4,529.6,517.1,12.5,262.5,
2023,Pahang,1127.3,1643.2,68.60394352,36137,0.124794532,3.6168822,102.5994547,3.2168822,104.0994547,65.2,2.5,761.8,742.6,19.2,407.2,
2023,Perak,1740.1,2541.2,68.47552337,21035,0.330886618,4.812181,100.9797908,4.512181,100.0797908,65.2,3.3,1130.3,1092.5,37.8,604.3,
2023,Perlis,211.9,293.1,72.29614466,821,1.033252132,6.486839199,100.2577623,6.36839199,99.8577623,66,2,120,117.6,2.4,61.9,
2023,Pulau Pinang,1299.1,1772.6,73.28782579,1048,4.958969466,5.406501299,100.2559077,5.206501299,99.5559077,73.3,2,965.7,946,19.7,352.5,
2023,Putrajaya,73.8,118.8,62.12121212,49,5.997959184,2.9384381,101.69223,2.6384381,100.69223,74.4,1.5,38.4,37.8,0.6,13.2,
2023,Sabah,2501.9,3596.7,69.56098646,73631,0.135926444,5.425735899,114.5326392,4.125735899,115.726392,70.7,7.4,2226.9,2061.2,165.6,921.3,
2023,Sarawak,1780.3,2502.3,71.14654518,124450,0.057222178,2.5023855,110.9547283,2.2023855,112.9547283,70.5,3.4,1479,1428.2,50.8,620,
2023,Selangor,5120,7209.7,71.01543754,8104,2.527122409,3.5083304,101.304146,3.5083304,100.304146,76.2,2.3,3901.2,3813.2,88,1216.1,
2023,Terengganu,798.1,1210,65.95867769,13035,0.24500959,4.8630743,102.9949297,4.5630743,104.2349297,60,4.6,524.3,500.1,24.2,350,
